feature,mutual_info
emb_241,0.001034092797305819
emb_203,0.0010205674099974527
emb_378,0.0009904676995431405
emb_129,0.0009864701838169232
emb_245,0.0009719785254399538
emb_108,0.0009686516663718336
emb_205,0.000964370391553615
hour,0.0009561483848035124
emb_55,0.0009546211019629824
emb_327,0.0009350737441194967
emb_261,0.0009031007140665182
emb_236,0.0008977905357601124
emb_187,0.0008915635468875749
emb_25,0.0008890053109369411
emb_101,0.000887674626051882
emb_260,0.0008730192996835306
emb_336,0.0008569263816773365
emb_185,0.0008550772130034856
emb_199,0.0008434065191108564
emb_308,0.0008313368125202336
emb_373,0.0008243490524479924
emb_211,0.0008210299161294232
emb_139,0.0007938456192481125
emb_103,0.0007926717059112409
emb_177,0.0007850548335842644
emb_366,0.0007798975545342257
emb_219,0.0007754185655759471
emb_96,0.0007669130870919805
emb_152,0.0007593979817477337
emb_324,0.0007539864847754263
emb_154,0.0007490220142702952
emb_349,0.0007270222967457052
emb_97,0.0007200371890477841
emb_193,0.0007189740891081486
emb_276,0.0007091614531592461
emb_85,0.0006891595094886682
emb_42,0.0006830953754544122
emb_176,0.0006829851101878281
emb_339,0.0006812696645731586
emb_354,0.0006802267331820211
emb_58,0.0006751219183712687
emb_9,0.0006677329061645088
emb_54,0.0006451007182058932
emb_112,0.0006428068642402307
emb_155,0.0006359571161229649
emb_224,0.0006244568586825094
emb_29,0.000616894090863962
emb_318,0.0006137465205228176
emb_253,0.0006010202804035414
emb_233,0.0005987429865165206
emb_372,0.0005925956309857927
emb_134,0.0005855195087994813
emb_296,0.000582219937243944
emb_330,0.000581281900878805
emb_381,0.0005792276767038196
emb_165,0.0005664002372036681
emb_275,0.0005595041034364145
emb_11,0.0005570976712891973
emb_298,0.0005567677476610022
emb_62,0.0005487371129739849
emb_46,0.0005481248450371901
emb_36,0.0005418557529860424
emb_180,0.0005409479603106782
reported_to_responsible_flag,0.0005378757719572969
emb_136,0.0005181896756970561
emb_161,0.0005174271698940025
emb_5,0.0005155645869470149
emb_287,0.0005080051971291244
emb_8,0.0005053327332081858
emb_40,0.0004966729004131087
emb_215,0.000489517030032971
emb_142,0.00047947064039344234
emb_89,0.00047477402642503996
emb_374,0.00045906291836306234
emb_168,0.00045669880782617245
emb_50,0.0004447734486652255
emb_273,0.00044382692468847296
emb_53,0.0004359391727449813
emb_238,0.0004313609422570419
emb_125,0.00042763877055596033
emb_33,0.00042308653797207274
emb_232,0.0004092516671898583
emb_28,0.0004067388881361378
emb_223,0.0004039714849984888
emb_16,0.00040345572611688585
emb_326,0.0003832431946837467
emb_3,0.0003800514259700849
emb_132,0.0003777254803547514
emb_14,0.0003710997603514343
emb_24,0.00037080446101667164
emb_369,0.0003498699709856279
emb_250,0.00034755256246421506
emb_35,0.00034737670816797905
emb_307,0.0003460169432435434
emb_63,0.0003314432409716739
emb_216,0.00032886151130739893
emb_163,0.00032098992552365146
emb_246,0.00031545086320039495
emb_31,0.000307297859117317
emb_329,0.0003024114788139354
emb_104,0.0002897094270224443
emb_178,0.0002856760217924137
emb_217,0.00027700522325568855
emb_320,0.0002714997786948947
day_of_week,0.0002665670259319741
emb_353,0.00026031280670058
emb_79,0.00025932179007792655
emb_43,0.0002532889711485131
emb_360,0.0002455246939215838
emb_226,0.000245275611557183
emb_267,0.00024100448883512815
emb_230,0.000238928101222613
