organization,observation_type,observation_category,rows,positives,positive_rate,min_time,max_time
"ТОО ""Сакура Плюс""",unsafe_behavior,СИЗ / Средства по обеспечению безопасности,4,0,0.0,2025-10-06 15:20:00,2025-11-20 15:00:00
"ТОО ""Сафлоровый Рассвет""",other,Рабочее место / Эргономика,4,0,0.0,2025-06-23 15:46:00,2025-11-09 21:50:00
"ТОО ""Сафлоровый Рассвет""",unsafe_behavior,СИЗ / Средства по обеспечению безопасности,4,0,0.0,2025-06-18 13:15:00,2026-01-09 15:45:00
"ТОО ""Сафлоровый Рассвет""",unsafe_condition,Проскальзывание / Спотыкание / Падение,4,0,0.0,2024-06-11 15:12:00,2026-02-11 15:00:00
"ТОО ""Сафлоровый Рассвет""",unsafe_condition,Электрооборудование,4,0,0.0,2025-03-04 20:30:00,2026-02-16 14:33:00
"ТОО ""Северный Нарцисс""",good_practice,Выполнение требований инструкций,4,0,0.0,2025-01-16 14:15:00,2025-12-08 15:15:00
"ТОО ""Северный Нарцисс""",unsafe_condition,Рабочее место / Эргономика,4,0,0.0,2024-02-15 22:16:00,2025-10-29 14:45:00
"ТОО ""Северный Нарцисс""",unsafe_condition,Электрооборудование,4,0,0.0,2025-06-20 13:15:00,2025-11-24 20:01:00
"ТОО ""Синяя Орхидея""",good_practice,"Целостность объекта / Оборудования, Наряд-допуск / Оценка риска",4,0,0.0,2025-10-03 14:18:00,2026-02-09 17:00:00
"ТОО ""Синяя Орхидея""",unsafe_behavior,СИЗ / Средства по обеспечению безопасности,4,0,0.0,2025-01-21 21:54:00,2026-01-23 16:40:00
"ТОО ""Синяя Орхидея""",unsafe_condition,Поддержание чистоты и порядка,4,0,0.0,2025-02-14 15:23:00,2025-08-16 15:00:00
"ТОО ""Синяя Орхидея""",unsafe_condition,Рабочее место / Эргономика,4,0,0.0,2025-08-15 20:21:00,2026-02-24 20:39:00
"ТОО ""Сияющая Примула""",good_practice,Прочее,4,0,0.0,2025-07-27 18:44:00,2025-10-07 23:49:00
"ТОО ""Сияющая Примула""",unsafe_behavior,СИЗ / Средства по обеспечению безопасности,4,0,0.0,2025-05-08 15:00:00,2025-12-24 14:37:00
"ТОО ""Солнечный Подсолнух""",unsafe_condition,Выполнение требований инструкций,4,0,0.0,2025-03-17 16:00:00,2025-12-15 21:25:00
"ТОО ""Солнечный Подсолнух""",unsafe_condition,Проскальзывание / Спотыкание / Падение,4,0,0.0,2025-08-06 18:06:00,2026-01-19 13:30:00
"ТОО ""Степная Роза""",unsafe_action,СИЗ / Средства по обеспечению безопасности,4,0,0.0,2025-05-14 20:51:00,2026-02-20 16:00:00
"ТОО ""Степная Роза""",unsafe_condition,Электрооборудование,4,0,0.0,2025-02-15 21:24:00,2025-09-16 15:00:00
"ТОО ""Степной Шалфей""",other,Рабочее место / Эргономика,4,0,0.0,2025-06-23 15:05:00,2025-11-17 15:00:00
"ТОО ""Тайный Бутон""",good_practice,Наряд-допуск / Оценка риска,4,0,0.0,2025-10-06 00:00:00,2026-01-08 21:37:00
"ТОО ""Тайный Бутон""",good_practice,Целостность объекта / Оборудования,4,0,0.0,2025-04-18 16:30:00,2026-12-21 01:53:00
"ТОО ""Тайный Бутон""",other,Рабочее место / Эргономика,4,0,0.0,2025-06-23 14:55:00,2025-08-19 12:11:00
"ТОО ""Таёжный Жасмин""",unsafe_action,СИЗ / Средства по обеспечению безопасности,4,0,0.0,2025-05-23 22:00:00,2025-11-11 19:50:00
"ТОО ""Таёжный Жасмин""",unsafe_condition,Машины и оборудование,4,0,0.0,2025-03-19 20:06:00,2025-12-21 15:15:00
"ТОО ""Таёжный Жасмин""",unsafe_condition,Поддержание чистоты и порядка,4,0,0.0,2025-03-06 15:40:00,2025-12-25 14:30:00
"ТОО ""Таёжный Жасмин""",unsafe_condition,Проскальзывание / Спотыкание / Падение,4,0,0.0,2024-06-18 21:49:00,2025-08-11 02:20:00
"ТОО ""Тихая Камелия""",good_practice,Прочее,4,0,0.0,2025-07-28 15:17:00,2025-10-07 20:07:00
"ТОО ""Тихая Камелия""",unsafe_condition,Электрооборудование,4,0,0.0,2025-07-11 15:30:00,2025-11-21 15:00:00
"ТОО ""Флора Капитал""",good_practice,Трубопроводы / Подземные коммуникации,4,0,0.0,2025-09-17 00:28:00,2025-11-17 16:35:00
"ТОО ""Флора Капитал""",unsafe_behavior,СИЗ / Средства по обеспечению безопасности,4,0,0.0,2025-11-07 12:45:00,2026-02-20 15:15:00
"ТОО ""Флора Капитал""",unsafe_condition,Машины и оборудование,4,0,0.0,2025-02-10 15:15:00,2025-06-13 15:00:00
"ТОО ""Цветочный Бриз""",danger_factor,Электрооборудование,4,0,0.0,2025-04-27 19:30:00,2025-10-24 20:50:00
"ТОО ""Цветочный Бриз""",other,Рабочее место / Эргономика,4,0,0.0,2025-06-11 00:39:00,2025-08-19 13:54:00
"ТОО ""Цветочный Бриз""",unsafe_action,Вождение,4,0,0.0,2025-01-25 21:20:00,2026-01-27 21:28:00
"ТОО ""Цветочный Бриз""",unsafe_condition,Электрооборудование,4,0,0.0,2025-03-17 19:10:00,2025-12-08 01:08:00
"ТОО ""Цветущий Миндаль""",unsafe_action,СИЗ / Средства по обеспечению безопасности,4,0,0.0,2025-05-12 15:55:00,2026-02-21 16:10:00
"ТОО ""Цветущий Олеандр""",good_practice,Охрана окружающей среды,4,0,0.0,2025-09-17 00:43:00,2026-01-26 18:41:00
"ТОО ""Цветущий Олеандр""",unsafe_action,СИЗ / Средства по обеспечению безопасности,4,0,0.0,2025-07-18 14:30:00,2026-01-03 20:54:00
"ТОО ""Цветущий Олеандр""",unsafe_condition,Рабочее место / Эргономика,4,0,0.0,2025-07-17 18:49:00,2026-02-13 14:32:00
"ТОО ""Цветущий Олеандр""",unsafe_condition,Электрооборудование,4,0,0.0,2025-04-25 19:30:00,2025-10-07 15:30:00
"ТОО ""Шёлковый Пион""",good_practice,Наряд-допуск / Оценка риска,4,0,0.0,2025-04-30 18:56:00,2025-12-10 17:58:00
"ТОО ""Шёлковый Пион""",other,Рабочее место / Эргономика,4,0,0.0,2025-05-12 20:31:00,2025-07-28 13:56:00
"ТОО ""Шёлковый Пион""",unsafe_condition,Выполнение требований инструкций,4,0,0.0,2025-08-04 15:30:00,2025-12-15 16:20:00
"ТОО ""Шёлковый Пион""",unsafe_condition,Трубопроводы / Подземные коммуникации,4,0,0.0,2025-04-08 15:43:00,2025-11-05 17:30:00
"ТОО ""Янтарная Хризантема""",other,Проскальзывание / Спотыкание / Падение,4,0,0.0,2025-09-29 13:25:00,2026-01-28 16:15:00
"ТОО ""Янтарная Хризантема""",unsafe_action,Проскальзывание / Спотыкание / Падение,4,0,0.0,2025-11-27 21:00:00,2026-01-10 13:15:00
