observation_type,observation_category,rows,positives,positive_rate
unsafe_behavior,"Вывешивание плакатов, Знаки безопасности / Предупредительные таблички",33,0,0.0
unsafe_condition,Транспортировка,33,0,0.0
unsafe_action,Взрыво- и пожароопасность,32,0,0.0
good_practice,Машины и оборудование,30,0,0.0
unsafe_behavior,Знаки безопасности / Предупредительные таблички,29,0,0.0
unsafe_behavior,Проскальзывание / Спотыкание / Падение,29,0,0.0
good_practice,Работы на высоте / Строительные леса,28,0,0.0
unsafe_action,Рабочее место / Эргономика,28,0,0.0
unsafe_behavior,Машины и оборудование,28,0,0.0
unsafe_condition,"Проскальзывание / Спотыкание / Падение, Рабочее место / Эргономика",28,0,0.0
other,Выполнение требований инструкций,27,0,0.0
unsafe_action,Переносное оборудование / Ручные инструменты,27,0,0.0
unsafe_action,Целостность объекта / Оборудования,27,0,0.0
unsafe_condition,Опасные природные явления / Погодные условия,27,0,0.0
unsafe_condition,Переносное оборудование / Ручные инструменты,27,0,0.0
unsafe_action,Вывешивание плакатов,26,0,0.0
unsafe_action,"Знаки безопасности / Предупредительные таблички, Выполнение требований инструкций",26,0,0.0
unsafe_behavior,"СИЗ / Средства по обеспечению безопасности, Выполнение требований инструкций",26,0,0.0
other,Машины и оборудование,25,0,0.0
other,Работы на высоте / Строительные леса,24,0,0.0
danger_factor,Знаки безопасности / Предупредительные таблички,22,0,0.0
danger_factor,Падающие предметы,22,0,0.0
unsafe_action,Земляные работы,22,0,0.0
unsafe_action,Трубопроводы / Подземные коммуникации,22,0,0.0
unsafe_behavior,Транспортировка,22,0,0.0
unsafe_condition,"Электрооборудование, Целостность объекта / Оборудования",22,0,0.0
danger_factor,Взрыво- и пожароопасность,21,0,0.0
other,Знаки безопасности / Предупредительные таблички,21,0,0.0
other,Транспортировка,21,0,0.0
unsafe_action,"Выполнение требований инструкций, СИЗ / Средства по обеспечению безопасности",20,0,0.0
unsafe_behavior,Монтажные и грузоподъемные работы,20,0,0.0
unsafe_condition,Земляные работы,20,0,0.0
unsafe_condition,Работы на высоте / Строительные леса,20,0,0.0
good_practice,Сварка / Шлифовка / Отжиг,19,0,0.0
other,Падающие предметы,19,0,0.0
danger_factor,Земляные работы,18,0,0.0
other,Взрыво- и пожароопасность,18,0,0.0
other,Охрана окружающей среды,18,0,0.0
unsafe_behavior,Сварка / Шлифовка / Отжиг,18,0,0.0
good_practice,"Вождение, Трубопроводы / Подземные коммуникации",17,0,0.0
good_practice,Земляные работы,17,0,0.0
unsafe_behavior,Земляные работы,17,0,0.0
unsafe_condition,Сварка / Шлифовка / Отжиг,17,0,0.0
danger_factor,Охрана окружающей среды,16,0,0.0
danger_factor,Сварка / Шлифовка / Отжиг,16,0,0.0
other,Опасные природные явления / Погодные условия,16,0,0.0
unsafe_action,Наряд-допуск / Оценка риска,16,0,0.0
unsafe_condition,"СИЗ / Средства по обеспечению безопасности, Выполнение требований инструкций",16,0,0.0
danger_factor,Вождение,15,0,0.0
danger_factor,Испытание под давлением,15,0,0.0
other,Вывешивание плакатов,15,0,0.0
unsafe_action,"Взрыво- и пожароопасность, Выполнение требований инструкций",15,0,0.0
unsafe_behavior,Наряд-допуск / Оценка риска,15,0,0.0
unsafe_behavior,"Поддержание чистоты и порядка, Охрана окружающей среды",15,0,0.0
unsafe_condition,Вывешивание плакатов,15,0,0.0
unsafe_condition,"Выполнение требований инструкций, Поддержание чистоты и порядка",15,0,0.0
danger_factor,Поддержание чистоты и порядка,14,0,0.0
danger_factor,Трубопроводы / Подземные коммуникации,14,0,0.0
other,Земляные работы,14,0,0.0
other,Монтажные и грузоподъемные работы,14,0,0.0
unsafe_action,"Вывешивание плакатов, Знаки безопасности / Предупредительные таблички",14,0,0.0
unsafe_condition,Монтажные и грузоподъемные работы,14,0,0.0
danger_factor,Прочее,13,0,0.0
danger_factor,Транспортировка,13,0,0.0
good_practice,Проскальзывание / Спотыкание / Падение,13,0,0.0
unsafe_action,Перемещение грузов вручную,13,0,0.0
unsafe_condition,"Электрооборудование, Выполнение требований инструкций",13,0,0.0
good_practice,"Вывешивание плакатов, Вождение",12,0,0.0
good_practice,"Наряд-допуск / Оценка риска, Трубопроводы / Подземные коммуникации",12,0,0.0
unsafe_action,"Наряд-допуск / Оценка риска, Выполнение требований инструкций",12,0,0.0
good_practice,"Поддержание чистоты и порядка, Охрана окружающей среды",11,0,0.0
other,Вождение,11,0,0.0
unsafe_action,Падающие предметы,11,0,0.0
unsafe_behavior,Вывешивание плакатов,11,0,0.0
unsafe_condition,"Проскальзывание / Спотыкание / Падение, Падающие предметы",11,0,0.0
good_practice,"Вождение, Наряд-допуск / Оценка риска, Трубопроводы / Подземные коммуникации",10,0,0.0
good_practice,Опасные природные явления / Погодные условия,10,0,0.0
good_practice,Перемещение грузов вручную,10,0,0.0
good_practice,"Трубопроводы / Подземные коммуникации, Наряд-допуск / Оценка риска, Вождение",10,0,0.0
other,Трубопроводы / Подземные коммуникации,10,0,0.0
unsafe_behavior,Охрана окружающей среды,10,0,0.0
unsafe_behavior,Перемещение грузов вручную,10,0,0.0
unsafe_behavior,Трубопроводы / Подземные коммуникации,10,0,0.0
unsafe_condition,"Выполнение требований инструкций, Аварийное реагирование / Готовность к ЧС, Рабочее место / Эргономика, Монтажные и грузоподъемные работы",10,0,0.0
good_practice,Взрыво- и пожароопасность,9,0,0.0
other,Аварийное реагирование / Готовность к ЧС,9,0,0.0
unsafe_action,Испытание под давлением,9,0,0.0
unsafe_action,"Работы в замкнутом пространстве, Наряд-допуск / Оценка риска",9,0,0.0
unsafe_condition,"Выполнение требований инструкций, Рабочее место / Эргономика, Переносное оборудование / Ручные инструменты, Целостность объекта / Оборудования",9,0,0.0
unsafe_condition,"Проскальзывание / Спотыкание / Падение, Поддержание чистоты и порядка",9,0,0.0
unsafe_condition,"Проскальзывание / Спотыкание / Падение, Целостность объекта / Оборудования",9,0,0.0
unsafe_condition,"Целостность объекта / Оборудования, Проскальзывание / Спотыкание / Падение",9,0,0.0
danger_factor,Рабочее место / Эргономика,8,0,0.0
good_practice,"Охрана окружающей среды, Наряд-допуск / Оценка риска",8,0,0.0
other,Перемещение грузов вручную,8,0,0.0
unsafe_action,Санитарно-бытовые помещения,8,0,0.0
unsafe_behavior,"Взрыво- и пожароопасность, Выполнение требований инструкций",8,0,0.0
unsafe_behavior,"Машины и оборудование, Поддержание чистоты и порядка",8,0,0.0
unsafe_behavior,Падающие предметы,8,0,0.0
unsafe_behavior,Переносное оборудование / Ручные инструменты,8,0,0.0
unsafe_behavior,Целостность объекта / Оборудования,8,0,0.0
unsafe_condition,"Выполнение требований инструкций, Проскальзывание / Спотыкание / Падение",8,0,0.0
unsafe_condition,"Выполнение требований инструкций, СИЗ / Средства по обеспечению безопасности",8,0,0.0
unsafe_condition,"Машины и оборудование, Целостность объекта / Оборудования",8,0,0.0
unsafe_condition,"Переносное оборудование / Ручные инструменты, Выполнение требований инструкций",8,0,0.0
other,Наряд-допуск / Оценка риска,7,0,0.0
other,Переносное оборудование / Ручные инструменты,7,0,0.0
other,Сварка / Шлифовка / Отжиг,7,0,0.0
unsafe_action,Аварийное реагирование / Готовность к ЧС,7,0,0.0
unsafe_action,"Взрыво- и пожароопасность, Знаки безопасности / Предупредительные таблички, Выполнение требований инструкций",7,0,0.0
unsafe_action,"Охрана окружающей среды, Поддержание чистоты и порядка",7,0,0.0
unsafe_action,"Поддержание чистоты и порядка, Охрана окружающей среды",7,0,0.0
unsafe_behavior,"Вождение, Выполнение требований инструкций",7,0,0.0
unsafe_behavior,"Охрана окружающей среды, Поддержание чистоты и порядка",7,0,0.0
unsafe_behavior,Работы в замкнутом пространстве,7,0,0.0
unsafe_condition,"Выполнение требований инструкций, Переносное оборудование / Ручные инструменты, Рабочее место / Эргономика, Целостность объекта / Оборудования",7,0,0.0
unsafe_condition,Перемещение грузов вручную,7,0,0.0
unsafe_condition,"Поддержание чистоты и порядка, Проскальзывание / Спотыкание / Падение",7,0,0.0
unsafe_condition,"Поддержание чистоты и порядка, Рабочее место / Эргономика",7,0,0.0
unsafe_condition,"Рабочее место / Эргономика, Электрооборудование",7,0,0.0
danger_factor,Вывешивание плакатов,6,0,0.0
danger_factor,Санитарно-бытовые помещения,6,0,0.0
good_practice,"Вождение, Поддержание чистоты и порядка",6,0,0.0
good_practice,"Трубопроводы / Подземные коммуникации, Вождение, Наряд-допуск / Оценка риска",6,0,0.0
other,"Выполнение требований инструкций, Наряд-допуск / Оценка риска",6,0,0.0
other,Испытание под давлением,6,0,0.0
other,"Машины и оборудование, Выполнение требований инструкций, Целостность объекта / Оборудования, Переносное оборудование / Ручные инструменты",6,0,0.0
unsafe_action,"Выполнение требований инструкций, Наряд-допуск / Оценка риска",6,0,0.0
unsafe_action,"Знаки безопасности / Предупредительные таблички, Вождение, Выполнение требований инструкций",6,0,0.0
unsafe_action,"Знаки безопасности / Предупредительные таблички, Поддержание чистоты и порядка",6,0,0.0
unsafe_behavior,"Выполнение требований инструкций, СИЗ / Средства по обеспечению безопасности",6,0,0.0
unsafe_condition,"Вывешивание плакатов, Знаки безопасности / Предупредительные таблички",6,0,0.0
unsafe_condition,"Знаки безопасности / Предупредительные таблички, Выполнение требований инструкций",6,0,0.0
unsafe_condition,"Поддержание чистоты и порядка, Выполнение требований инструкций",6,0,0.0
unsafe_condition,Работы в замкнутом пространстве,6,0,0.0
unsafe_condition,"Рабочее место / Эргономика, Проскальзывание / Спотыкание / Падение",6,0,0.0
unsafe_condition,"Трубопроводы / Подземные коммуникации, Машины и оборудование",6,0,0.0
unsafe_condition,"Электрооборудование, Машины и оборудование",6,0,0.0
danger_factor,"Работы на высоте / Строительные леса, Выполнение требований инструкций",5,0,0.0
good_practice,"Вывешивание плакатов, Знаки безопасности / Предупредительные таблички",5,0,0.0
good_practice,"Знаки безопасности / Предупредительные таблички, Поддержание чистоты и порядка",5,0,0.0
good_practice,"Наряд-допуск / Оценка риска, Санитарно-бытовые помещения",5,0,0.0
good_practice,Переносное оборудование / Ручные инструменты,5,0,0.0
good_practice,"Поддержание чистоты и порядка, Выполнение требований инструкций",5,0,0.0
good_practice,"СИЗ / Средства по обеспечению безопасности, Выполнение требований инструкций",5,0,0.0
other,Работы в замкнутом пространстве,5,0,0.0
unsafe_action,"Вождение, Выполнение требований инструкций",5,0,0.0
unsafe_action,"Вождение, Выполнение требований инструкций, Знаки безопасности / Предупредительные таблички",5,0,0.0
unsafe_action,"Вывешивание плакатов, Знаки безопасности / Предупредительные таблички, Взрыво- и пожароопасность, Выполнение требований инструкций",5,0,0.0
unsafe_action,"Выполнение требований инструкций, Взрыво- и пожароопасность",5,0,0.0
unsafe_action,"Выполнение требований инструкций, Знаки безопасности / Предупредительные таблички",5,0,0.0
unsafe_action,Работы в замкнутом пространстве,5,0,0.0
unsafe_action,"Работы на высоте / Строительные леса, Выполнение требований инструкций",5,0,0.0
unsafe_action,"СИЗ / Средства по обеспечению безопасности, Наряд-допуск / Оценка риска, Выполнение требований инструкций",5,0,0.0
unsafe_behavior,"СИЗ / Средства по обеспечению безопасности, Поддержание чистоты и порядка, Охрана окружающей среды",5,0,0.0
unsafe_condition,"Выполнение требований инструкций, Рабочее место / Эргономика",5,0,0.0
unsafe_condition,"Падающие предметы, Проскальзывание / Спотыкание / Падение",5,0,0.0
unsafe_condition,"Проскальзывание / Спотыкание / Падение, Электрооборудование",5,0,0.0
unsafe_condition,"Рабочее место / Эргономика, Поддержание чистоты и порядка",5,0,0.0
danger_factor,Аварийное реагирование / Готовность к ЧС,4,0,0.0
danger_factor,Переносное оборудование / Ручные инструменты,4,0,0.0
danger_factor,"Поддержание чистоты и порядка, Охрана окружающей среды",4,0,0.0
